year,name,category,fran,nbran,gta,gts,roa,opr,nir,deratio,tat
2020,주식회사덕용푸드시스템,한식,2,2,7.98,-21.21,8.8,5.81,11.71,41.93,0.75
2020,주식회사도레도레,주점 및 비알콜,1,2,-15.26,-30.27,-16.17,-10,-13.12,164.14,1.23
2016,주식회사디딤,한식,1,2,,,17.86,8.41,5.91,242.14,3.02
2017,주식회사디딤,한식,1,2,,,4.49,3.68,2.44,70.17,1.22
2018,주식회사디딤,한식,1,2,17.44,41.77,5.74,5.13,3.6,85.23,1.59
2019,주식회사디딤,한식,1,2,75.5,26.63,2.56,3.74,1.89,218.97,1.36
2019,주식회사뚝심,한식,1,1,27.62,5.46,-6.26,3.01,-4.97,1219.44,1.26
2020,주식회사뚝심,한식,1,1,-7.17,-17.97,-16.95,-8.06,-17.74,103.75,0.96
2020,주식회사명동교자,한식,1,1,0.4,130.24,-0.58,-1.14,-3.32,44.55,0.17
2019,주식회사바나플에프엔비,주점 및 비알콜,1,1,86.76,559.06,-30.54,-27.89,-30.65,0,1
2020,주식회사바나플에프엔비,주점 및 비알콜,1,1,-4.28,45.14,-35.08,-27.57,-30.92,0,1.13
2020,주식회사베리,서양식,2,1,-0.53,-53.42,0.12,7.04,0.97,269.5,0.12
2016,주식회사부자되세요,한식,2,1,38.26,31.22,23.03,24.03,18.32,116.52,1.26
2017,주식회사부자되세요,한식,2,1,5.08,12.35,15.69,20.33,13.22,69.5,1.19
2018,주식회사부자되세요,한식,2,1,8.75,29.63,18.68,16.98,12.99,38.56,1.44
2019,주식회사부자되세요,한식,2,1,47.12,18.35,21.19,19.17,16.03,95.58,1.32
2020,주식회사부자되세요,한식,2,1,18.9,-0.73,9.19,11.98,9.13,94.3,1.01
2018,주식회사비에이치씨,피자/치킨업,1,1,,,23.7,25.55,19.4,202.36,1.22
2019,주식회사비에이치씨,피자/치킨업,1,1,2.1,34.1,20.7,30.68,12.77,258.96,1.62
2020,주식회사비에이치씨,피자/치킨업,1,1,38.28,25.67,31.79,32.46,18.79,205.45,1.69
2016,주식회사비케이알,피자/치킨업,1,1,201.89,-9.1,4.21,4.25,3.18,31.71,1.33
2017,주식회사비케이알,피자/치킨업,1,1,9.15,36.61,-1.39,0.43,-1.2,112.98,1.15
2018,주식회사비케이알,피자/치킨업,1,1,1.4,16.43,1.35,2.23,1.06,110.65,1.28
2019,주식회사비케이알,피자/치킨업,1,1,46.36,24.87,1.5,3.61,1.16,202.53,1.29
2020,주식회사비케이알,피자/치킨업,1,1,3.1,13.63,-0.92,1.43,-0.76,229.72,1.21
2016,주식회사삼원가든,한식,2,1,8.5,97.43,8.11,12.97,9.16,87.4,0.88
2017,주식회사삼원가든,한식,2,1,-3.53,-8,-1.7,5.11,-2.13,86.69,0.8
2018,주식회사삼원가든,한식,2,1,,,-1.37,12.71,-2.53,478.69,0.54
2019,주식회사삼원가든,한식,2,1,5.36,433.5,2.32,4.26,1.66,435.77,1.4
2016,주식회사설빙,주점 및 비알콜,1,1,12.84,-21.49,1.75,2.89,3.62,33.33,0.48
2017,주식회사설빙,주점 및 비알콜,1,1,-0.17,22.76,2.02,8.61,3.62,29.27,0.56
2018,주식회사설빙,주점 및 비알콜,1,1,14.23,16.33,9.53,18.18,15.66,30.45,0.61
2019,주식회사설빙,주점 및 비알콜,1,1,16.8,12.26,7.84,30.56,13.27,37.16,0.59
2020,주식회사설빙,주점 및 비알콜,1,1,7.97,-16.66,14.06,32.21,32,23.35,0.44
2016,주식회사스타벅스커피코리아,주점 및 비알콜,2,1,12.86,29.58,13.65,8.5,6.51,105.08,2.1
2017,주식회사스타벅스커피코리아,주점 및 비알콜,2,1,18.68,25.99,16.33,9.05,7.16,86.54,2.28
2018,주식회사스타벅스커피코리아,주점 및 비알콜,2,1,28.46,20.49,16.29,9.38,7.36,83.98,2.21
2019,주식회사스타벅스커피코리아,주점 및 비알콜,2,1,61.81,22.81,13.12,9.37,7.1,156.22,1.85
2020,주식회사스타벅스커피코리아,주점 및 비알콜,2,1,10.4,3.15,7.57,8.52,5.17,165.16,1.47
2016,주식회사식의,서양식,2,2,-10.3,-1.71,-2.39,-0.52,-1.03,158.59,2.33
2017,주식회사식의,서양식,2,2,-9.48,-17,3.28,3.92,1.53,127.67,2.14
2018,주식회사식의,서양식,2,2,-3.27,-10.65,10.72,7.36,5.23,77.6,2.05
2019,주식회사식의,서양식,2,2,14.52,-9.2,16.53,8.52,9.37,54.69,1.76
2020,주식회사식의,서양식,2,2,12.73,-86.52,18.77,-16.92,89.7,33.22,0.21
2016,주식회사썬앳푸드,다업종업,2,2,-9.09,19.75,-8.75,-12.15,-20.53,6.01,0.43
2017,주식회사썬앳푸드,다업종업,2,2,-6.04,-9.35,-5.79,-18.88,-13.86,7.6,0.42
2018,주식회사썬앳푸드,다업종업,2,2,-0.74,16.81,-2,-11.42,-3.95,9.26,0.51
2019,주식회사썬앳푸드,다업종업,2,2,1.47,13.79,-4.47,-4.93,-7.79,16.65,0.57
2020,주식회사썬앳푸드,다업종업,2,2,21.22,-21.89,-4.01,-13.58,-9.96,48.47,0.4
2016,주식회사아모제에프앤엘,서양식,2,2,-0.51,-36.95,-0.67,-22.98,-1.27,5102.89,0.52
2017,주식회사아모제에프앤엘,서양식,2,2,-4.04,-65.71,3.8,5.36,20.67,1600.46,0.18
2018,주식회사아모제에프앤엘,서양식,2,2,-2.89,-26.04,-3.26,-1.56,-23.15,3540.27,0.14
2019,주식회사아모제에프앤엘,서양식,2,2,-87.68,-45.62,-18.69,-8.61,-135.12,0,0.14
2016,주식회사안스,제과점업,2,1,2.19,283.59,2.93,5.64,2.97,746.44,0.99
2017,주식회사안스,제과점업,2,1,2.88,1.43,1.7,4.88,1.74,659.88,0.98
2018,주식회사안스,제과점업,2,1,45.6,10.51,4.94,9.23,5.71,657.27,0.87
2019,주식회사안스,제과점업,2,1,-2.21,8.38,1.12,4.01,1.4,583.26,0.8
2020,주식회사안스,제과점업,2,1,5.91,11.39,5,7.84,5.71,435.46,0.88
2020,주식회사알트윈푸드,중식/일식,1,2,-32.44,-54.15,-26.13,-9.14,-16.26,310.92,1.61
2016,주식회사에땅,피자/치킨업,1,2,-11.36,-19.13,1.35,2.04,1.55,125.75,0.87
2017,주식회사에땅,피자/치킨업,1,2,2.09,-19.31,3.5,1.71,4.72,113.46,0.74
2018,주식회사에땅,피자/치킨업,1,2,-2.65,-18.43,1.57,3.19,2.59,101.17,0.61
2019,주식회사에땅,피자/치킨업,1,2,-5.7,-15.15,25.67,-16.11,47.87,26.32,0.54
2020,주식회사에땅,피자/치킨업,1,2,-0.76,-12.66,7.97,-11.87,16.46,15.42,0.48
2019,주식회사에스제이뺑오르방,제과점업,2,1,19.72,48.68,8.42,18.22,13.81,341.3,0.61
2016,주식회사에이치앤디이,간이식,1,2,-1.73,-7.72,1.92,1.52,1.32,65.1,1.45
2017,주식회사에이치앤디이,간이식,1,2,-3.69,6.03,2.44,1.24,1.54,57.62,1.58
2018,주식회사에이치앤디이,간이식,1,2,6.41,9.01,1.82,1.25,1.07,66.68,1.7
2019,주식회사에이치앤디이,간이식,1,2,3.75,-0.39,3.26,2.17,2.02,67.51,1.62
2020,주식회사에이치앤디이,간이식,1,2,22.19,-16.13,-1.28,-0.42,-1.07,49.9,1.2
2016,주식회사엔타스시스템,다업종업,2,2,0.88,-1.34,2.44,4.97,2.06,142.34,1.19
2017,주식회사엔타스시스템,다업종업,2,2,2.3,0.46,3.62,6.33,3.08,127.72,1.17
2018,주식회사엔타스시스템,다업종업,2,2,-0.79,3.66,4.36,4.17,3.61,105.26,1.21
2019,주식회사엔타스시스템,다업종업,2,2,18.32,-3.51,2.38,3.25,2.22,130.96,1.07
2020,주식회사엔타스시스템,한식,2,2,-7.24,-20.69,0.25,0.42,0.31,113.05,0.81
2019,주식회사엘알디,한식,2,1,-1.39,-9.6,-1.76,-14.84,-17.05,106.71,0.1
2019,주식회사엘티알,한식,2,1,8.94,38385.63,6.06,8.08,4.98,62679.04,1.22
2020,주식회사엘티알,한식,2,1,3.91,-36.22,2.39,7.41,3.28,3902.89,0.73
2016,주식회사엠에프지코리아,서양식,2,1,9.61,14.59,1.4,2.6,0.58,90.9,2.39
2017,주식회사엠에프지코리아,서양식,2,1,6.72,2.97,6.51,4.21,2.86,79.99,2.28
2018,주식회사엠에프지코리아,서양식,2,1,0.49,-2.81,1.98,2.97,0.93,75.87,2.14
2019,주식회사엠에프지코리아,서양식,2,1,47,-4.12,2.53,3.32,1.53,145.7,1.66
2020,주식회사엠에프지코리아,서양식,2,1,-3.88,-21.14,-5.22,-4.72,-4.67,162.52,1.12
2016,주식회사엠파이어에프앤비,서양식,2,1,-2.53,1.6,0.04,6.14,0.07,17684.99,0.52
2017,주식회사엠파이어에프앤비,서양식,2,1,-3.26,-15.32,-4.48,-3.67,-9.9,0,0.45
2018,주식회사엠파이어에프앤비,서양식,2,1,-3.39,-29.16,0.24,-6.05,0.71,7422.66,0.33
2019,주식회사엠파이어에프앤비,서양식,2,1,-9.36,-94.65,1.1,-458.16,58.25,3706.62,0.02
2016,주식회사온누리푸드시스템,한식,1,2,5.24,-16.74,5.23,7.99,6.47,4.43,0.81
2017,주식회사온누리푸드시스템,한식,1,2,5.64,-18.34,5.09,10.16,8.14,4.61,0.63
2018,주식회사온누리푸드시스템,한식,1,2,3.11,1.44,3.53,6.42,5.81,3.96,0.61
2019,주식회사온누리푸드시스템,한식,1,2,30.42,-4.1,6.21,6.43,12.45,26.2,0.5
2016,주식회사이원,주점 및 비알콜,1,1,-6.04,-14.67,-6.8,-13.28,-19.25,487.59,0.35
2017,주식회사이원,주점 및 비알콜,1,1,-2.82,-8.11,-5.62,-8.42,-16.54,746.76,0.34
2018,주식회사이원,주점 및 비알콜,1,1,-3.53,29.38,0.43,4.55,0.94,750.59,0.45
2019,주식회사이원,주점 및 비알콜,1,1,-3.38,-26.84,-2.6,-3.94,-7.56,950.34,0.34
2016,주식회사제이알더블유,서양식,2,1,12.11,12.88,8.19,3.5,3.26,209.44,2.51
2017,주식회사제이알더블유,서양식,2,1,17.45,15.9,3.13,4,1.23,249.42,2.53
2018,주식회사제이알더블유,서양식,2,1,-8.77,-1.02,-2.96,2.09,-1.22,253.75,2.43
2019,주식회사제이알더블유,서양식,2,1,7.39,0.52,13.31,4.33,5.4,155.26,2.47
2020,주식회사제이알더블유,서양식,2,1,16.64,-19.84,-32.4,-18.46,-18.38,2760.3,1.76
2016,주식회사죠스푸드,간이식,1,2,12.8,-20.39,-4.51,-3.29,-4.11,451.98,1.1
2017,주식회사죠스푸드,간이식,1,2,0.3,-12.02,0.53,4.59,0.58,437.97,0.91
2018,주식회사죠스푸드,간이식,1,2,11.36,-15.19,1.13,4.8,1.55,462.93,0.73
2019,주식회사죠스푸드,간이식,1,2,15.68,-4.9,0.07,4.54,0.12,548.36,0.61
2020,주식회사죠스푸드,간이식,1,2,4.64,8.66,-0.01,4.24,-0.01,578.69,0.6
2016,주식회사즐거운세상,다업종업,1,2,-0.21,30.69,1.19,8.41,2.3,1062.61,0.52
2017,주식회사즐거운세상,다업종업,1,2,23.72,2.02,1.32,9.93,2.8,373.74,0.47
2018,주식회사즐거운세상,다업종업,1,2,7.21,10.5,1.62,10.8,3.55,370.58,0.46
2019,주식회사즐거운세상,다업종업,1,2,2.57,3.93,2.25,12.54,5,335.83,0.45
2020,주식회사즐거운세상,다업종업,1,2,-1.74,-45.64,-3.87,-14.52,-15.86,414.31,0.24
2016,주식회사지앤푸드,피자/치킨업,1,2,79.41,49.35,26.81,9.58,6.16,161.32,4.35
2017,주식회사지앤푸드,피자/치킨업,1,2,20.77,8.24,21.78,9.09,6.55,101.28,3.32
2018,주식회사지앤푸드,피자/치킨업,1,2,8.06,-6.59,14.93,8.35,5.47,76.02,2.73
2019,주식회사지앤푸드,피자/치킨업,1,2,15.22,4.44,9.9,5.76,3.88,80.24,2.55
2020,주식회사지앤푸드,피자/치킨업,1,2,61.17,27.41,10.43,8.38,4.49,152.49,2.32
2019,주식회사청초수,한식,2,1,-2.88,-0.35,7.96,11.24,8.38,150.41,0.95
2016,주식회사카페베네,주점 및 비알콜,1,1,-21.34,-30.45,-24.57,-0.72,-31.6,8021.61,0.78
2017,주식회사카페베네,주점 및 비알콜,1,1,-62.84,-39.84,-65.36,-4.8,-84.4,0,0.77
2018,주식회사카페베네,주점 및 비알콜,1,1,-9.92,-39.13,2.88,0.87,3.15,0,0.92
2019,주식회사카페베네,주점 및 비알콜,1,1,1.44,-8.2,-1.95,1.99,-2.08,0,0.94
2020,주식회사카페베네,주점 및 비알콜,1,1,-16.28,-15.35,-1.44,-3.99,-1.69,0,0.86
2019,주식회사커피베이,주점 및 비알콜,1,1,2.49,15.68,6.77,10.93,2.86,218.73,2.37
2020,주식회사커피베이,주점 및 비알콜,1,1,-15.41,-20.45,1.38,6.06,0.69,159.08,2.02
2016,주식회사케이에프씨코리아,피자/치킨업,1,1,-12.74,1.31,-22.65,-6.93,-10.73,159.74,2.11
2017,주식회사케이에프씨코리아,피자/치킨업,1,1,-7.43,-8.84,-25.03,-10.75,-11.67,559.71,2.15
2018,주식회사케이에프씨코리아,피자/치킨업,1,1,-0.59,14.23,-7.93,-0.84,-3.1,1758.25,2.56
2019,주식회사케이에프씨코리아,피자/치킨업,1,1,101.8,13.81,-0.91,1.87,-0.47,6308.49,1.93
2020,주식회사케이에프씨코리아,피자/치킨업,1,1,3.73,-5.89,-1.93,0.39,-1.44,0,1.34
2020,주식회사큐스키친,서양식,1,2,-18.46,-33.4,-8.31,-8.23,-5.24,17.88,1.59
2016,주식회사키친보리에,다업종업,1,2,27.33,14.15,5.95,8.65,5.39,98.37,1.1
2017,주식회사키친보리에,다업종업,1,2,-0.14,7.96,1.19,10.4,1.12,93.75,1.06
2018,주식회사키친보리에,다업종업,1,2,2.63,-4.03,0.13,2.6,0.13,102.84,1.01
2019,주식회사키친보리에,다업종업,1,2,5.87,1.59,6.57,6.33,6.69,90.22,0.98
2020,주식회사키친보리에,다업종업,1,2,7.23,-26.29,-5.02,-9.28,-7.39,130.89,0.68
2020,주식회사타르틴코리아,제과점업,1,1,9.52,11.32,-72.17,-37.8,-45.99,0,1.57
2016,주식회사터존,서양식,2,1,26.62,-69.35,0.04,24.25,1.4,504.34,0.03
2017,주식회사터존,서양식,2,1,15.14,30.53,56.57,54.07,1839.47,49.97,0.03
2018,주식회사터존,서양식,2,1,-5.24,-5.3,1.07,60.15,38.17,40.55,0.03
2019,주식회사터존,서양식,2,1,-2.53,-4,-0.76,65.23,-27.3,38.45,0.03
2016,주식회사토다이코리아,중식/일식,2,1,-2.78,1.81,-0.43,2.5,-0.4,184.68,1.08
2017,주식회사토다이코리아,중식/일식,2,1,-2.83,5.64,-8.17,-3.53,-6.95,261.95,1.18
2018,주식회사토다이코리아,중식/일식,2,1,10.55,1.69,-3.99,-1.06,-3.47,254.53,1.15
2019,주식회사토다이코리아,중식/일식,2,1,-18.32,-53.44,-14.66,7.63,-26.07,448.64,0.56
2020,주식회사티앤더블유코리아,중식/일식,2,1,-17.73,-37.67,-27.4,-35.09,-64.05,0,0.43
2016,주식회사푸른에프앤디,중식/일식,1,2,-7.2,-3.48,2.97,3.51,7.57,7,0.39
2017,주식회사푸른에프앤디,중식/일식,1,2,14.66,-4.66,4.97,3.26,13.74,4.86,0.36
2018,주식회사푸른에프앤디,중식/일식,1,2,5.91,1.22,3.81,0.31,11.45,4.06,0.33
2019,주식회사푸른에프앤디,중식/일식,1,2,-1.12,-22.04,-1.52,-22.76,-6,6.44,0.25
2016,주식회사프랜푸드,피자/치킨업,1,1,1.11,-5.53,3.73,2.88,1.76,158.78,2.12
2017,주식회사프랜푸드,피자/치킨업,1,1,8.47,-0.23,1.85,2.26,0.92,188.11,2.01
2018,주식회사프랜푸드,피자/치킨업,1,1,2.89,-3.68,2.87,5.4,1.56,185.79,1.84
2019,주식회사프랜푸드,피자/치킨업,1,1,3.27,-14.17,-5.31,-1.9,-3.47,268.48,1.53
2020,주식회사프랜푸드,피자/치킨업,1,1,-14.82,-20.07,-3.09,-1.17,-2.37,250.79,1.3
2016,주식회사하누소,한식,1,1,-0.38,8.18,2.28,9.29,3.81,394.57,0.6
2017,주식회사하누소,한식,1,1,0.75,-2.65,2.99,10.18,5.12,333.91,0.58
2018,주식회사하누소,한식,1,1,2.88,-3.79,2.53,9.41,4.59,301.76,0.55
2019,주식회사하누소,한식,1,1,5.16,-0.61,0.83,6.39,1.58,308.53,0.53
2020,주식회사하누소,한식,1,1,3.09,-10.26,0.56,5.48,1.23,311.63,0.45
2016,주식회사현성에프엔티,서양식,2,2,3.75,-26.81,0.03,4.82,0.09,33899.71,0.35
2017,주식회사현성에프엔티,서양식,2,2,-24.79,-71.23,-21.19,-205.84,-190.37,0,0.11
2018,주식회사현성에프엔티,서양식,2,2,-11.19,-46.29,-13.56,-152.92,-183.84,0,0.07
2019,주식회사현성에프엔티,서양식,2,2,-8.29,11.23,-7.41,-54.55,-81.4,0,0.09
2016,청오디피케이(주),피자/치킨업,1,1,12.7,7.61,12.78,12.44,9.93,61.94,1.29
2017,청오디피케이(주),피자/치킨업,1,1,3.12,4.53,13.18,13.43,10.55,51.18,1.25
2018,청오디피케이(주),피자/치킨업,1,1,21.92,-3.09,7.46,9.82,6.94,64.04,1.07
2019,청오디피케이(주),피자/치킨업,1,1,-4.8,-4.18,6.08,5.61,6.34,42.37,0.96
2020,청오디피케이(주),피자/치킨업,1,1,5.57,14.09,9.69,7.1,8.87,70.79,1.09
2016,커피스미스에프씨(주),주점 및 비알콜,1,2,,,5.04,3.39,2.25,195.93,2.24
2017,커피스미스에프씨(주),주점 및 비알콜,1,2,12.34,5.19,3.46,4.8,3.12,415.05,1.11
2018,커피스미스에프씨(주),주점 및 비알콜,1,2,4.56,3.02,3.59,5.98,3.4,352.84,1.06
2019,커피스미스에프씨(주),주점 및 비알콜,1,2,5.49,-17.75,0.12,2.37,0.14,375.12,0.83
2020,커피스미스에프씨(주),주점 및 비알콜,1,2,-1.4,-25.48,-11.87,-17.11,-19.64,964.67,0.6
2020,크리스탈제이드코리아주식회사,중식/일식,1,1,0,0,-32,-6.57,-9.84,126.98,3.25
2018,투썸플레이스주식회사,주점 및 비알콜,1,1,,,23.95,12.15,7.86,111.78,3.05
2019,투썸플레이스주식회사,주점 및 비알콜,1,1,56.54,22.4,10.7,11.75,7.36,218.09,1.45
2020,투썸플레이스주식회사,주점 및 비알콜,1,1,3.24,10.69,8.88,11.12,6.84,608.88,1.3
2020,하이디라오코리아(유),중식/일식,1,1,51.63,-38.17,-19.84,-25.55,-23.97,0,0.83
2016,한국파파존스(주),피자/치킨업,1,1,-0.82,0.47,0.01,0.17,0,1335.87,3.05
2017,한국파파존스(주),피자/치킨업,1,1,-0.34,6.23,0.78,0.57,0.24,1186.73,3.26
2018,한국파파존스(주),피자/치킨업,1,1,49.34,3.11,0.61,1.32,0.23,1649.4,2.7
2019,한국파파존스(주),피자/치킨업,1,1,3.68,6.87,1.97,2.26,0.83,1243.51,2.37
2020,한국파파존스(주),피자/치킨업,1,1,17.68,36.58,18.23,8.6,6.25,331.22,2.92
2016,한서외식산업(주),한식,2,2,0.76,-19.56,-0.74,-6.61,-2.45,13.36,0.3
2017,한서외식산업(주),한식,2,2,1.13,6.98,-1.89,-7.49,-5.9,13,0.32
2018,한서외식산업(주),한식,2,2,-0.66,16.26,-1.74,0.78,-4.66,14.49,0.37
2019,한서외식산업(주),한식,2,2,5.12,17.89,2.89,1.16,6.72,16.41,0.43
2020,한서외식산업(주),한식,2,2,-5.08,-33.76,-3.88,-23.23,-13.61,15.57,0.28
2016,한우리외식산업주식회사,한식,2,2,4.16,6.95,5.21,7.88,6.23,18.61,0.84
2017,한우리외식산업주식회사,한식,2,2,7.36,5.8,6.01,9.83,7.2,20.34,0.84
2018,한우리외식산업주식회사,한식,2,2,2.96,4.83,3.44,5.02,4.13,18.9,0.83
2019,한우리외식산업주식회사,한식,2,2,6.79,1.5,4.37,6.68,5.42,20.5,0.81
2020,한우리외식산업주식회사,한식,2,2,0.85,-23.16,-0.61,-1.48,-1.02,22.43,0.6
2016,해마로푸드서비스(주),피자/치킨업,1,1,0,0,12.38,8.55,4.6,73.04,2.69
2017,해마로푸드서비스(주),피자/치킨업,1,1,35.69,10.75,11.65,6.5,4.61,80.56,2.53
2018,해마로푸드서비스(주),피자/치킨업,1,1,14.69,15.46,13.19,8.94,5.59,69.23,2.36
2019,해마로푸드서비스(주),피자/치킨업,1,1,7.72,11.46,8.38,7.53,3.53,68.31,2.37
