id,dong,bus_station,bcc_rentalshop,hanriver_acc,history,theater,art,culture,museum,library,perfomance,park,shopping,doolle_munhwagil,gym,amusement_park,book,general_restaurant,rest_restaurant,restroom,bike_rental_mean,seoul_sites
1,가양동,60,15,0,2,0,2,0,1,0,0,0,5,2,0,0,9,6,6,35,23709.6,0
2,고척동,84,13,0,2,0,0,0,0,1,0,0,13,0,12,0,6,9,5,14,15026.4,0
3,공릉동,54,7,0,5,1,0,0,1,0,0,0,3,4,13,0,12,13,6,18,2912.6,0
4,남영동,6,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1589.4,0
5,남창동,3,0,0,1,0,0,0,0,0,0,20,2,0,0,0,1,4,0,7,0,0
6,내곡동,15,3,0,3,0,0,0,1,0,0,0,0,0,1,3,0,0,1,3,69.8,0
7,능동,15,4,0,2,1,0,1,1,0,1,0,0,2,5,4,0,7,1,9,5343.6,0
8,동작동,33,8,0,2,1,0,0,0,0,0,0,0,8,2,0,0,7,4,4,7322.4,0
9,묵동,88,17,0,2,0,0,0,0,1,0,0,0,0,5,0,5,7,11,9,18839.8,0
10,방배동,123,12,0,3,0,0,0,0,0,2,0,2,6,8,0,30,18,10,82,4998.4,0
11,방이동,39,12,0,3,0,2,1,3,0,3,0,1,12,7,1,6,7,2,42,16574.2,0
12,방학동,121,19,0,1,1,0,0,0,0,0,0,4,6,3,1,5,13,6,28,16053.8,0
13,번동,130,17,0,1,0,0,0,0,1,1,0,0,12,8,0,6,20,7,23,13899.8,0
14,봉천동,137,32,0,1,1,2,2,0,1,2,0,10,6,10,0,23,44,16,27,23725.8,0
15,사당동,120,28,0,3,6,1,1,0,0,0,0,4,5,3,0,10,32,20,26,19549.4,0
16,사직동,6,1,0,13,0,0,1,0,0,0,0,0,0,1,0,2,0,1,3,373.4,0
17,삼성동,55,18,0,4,4,2,0,1,1,6,0,4,3,1,1,3,37,21,27,10461.2,0
18,상암동,27,4,1,1,0,0,0,0,0,0,0,0,3,9,0,7,1,0,31,2142.8,1
19,서빙고동,9,3,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2899.2,0
20,석관동,46,7,0,1,1,0,0,0,0,1,0,3,1,5,0,1,3,6,11,9223.6,1
21,석촌동,28,14,0,2,4,0,1,0,0,3,0,2,12,1,0,3,23,21,19,23960.2,0
22,소공동,0,1,0,11,0,0,0,0,0,0,5,1,0,0,0,0,1,0,13,293.6,0
23,수서동,26,4,0,2,0,0,0,0,0,0,0,1,0,5,0,1,1,1,9,2687.8,0
24,수유동,101,8,0,1,0,0,1,0,0,1,0,7,22,5,0,13,8,5,23,0,0
25,신촌동,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,7,0,0
26,암사동,24,7,1,1,0,0,0,1,1,1,0,0,0,4,0,3,6,7,22,0,0
27,예장동,2,0,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1
28,오금동,55,15,0,2,0,0,0,0,1,0,0,3,1,8,1,5,11,8,27,8977.2,0
29,오륜동,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,와룡동,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0
31,우이동,13,1,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,2,3,503.6,0
32,월계동,75,12,0,2,0,0,0,0,1,1,0,3,6,6,0,5,2,2,19,9892.2,0
33,이화동,3,2,0,1,0,0,0,0,0,3,0,0,0,0,0,2,2,0,2,1075.8,1
34,장충동1가,7,4,0,1,0,0,1,1,0,1,118,0,0,1,0,0,1,0,4,1417.2,0
35,정릉동,61,3,0,1,0,1,0,1,0,0,0,1,11,3,0,13,7,4,20,1156.6,1
36,종로1가,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,1,2,1718.4,0
37,천연동,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0
38,청량리동,32,6,0,4,0,0,0,2,2,0,0,1,2,2,1,1,3,0,7,4218,0
39,청운동,2,0,0,17,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0
40,필동2가,1,0,0,3,0,1,0,0,0,1,63,0,1,1,0,1,1,0,6,0,1
41,하계동,108,14,0,1,3,1,2,0,1,1,0,3,0,9,0,1,4,3,13,25514,0
42,회현동1가,4,0,0,1,0,0,0,1,0,0,56,1,0,3,0,0,0,0,4,0,0
43,효창동,7,1,0,1,0,0,0,1,2,0,0,0,0,6,0,0,0,0,8,246.6,2
44,후암동,17,2,0,2,0,0,1,1,3,0,8,0,0,2,1,8,3,0,5,1280.4,0
45,훈전동,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,훈정동,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
47,가락동,32,8,0,0,0,0,0,0,0,0,0,4,1,1,0,9,6,6,44,0,0
48,가리봉동,95,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0,34,17,4,20864,0
49,가산동,66,11,0,0,1,0,0,0,2,0,0,5,0,0,0,11,7,4,17,9519.6,0
50,가회동,6,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,271.4,0
51,갈월동,13,2,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,3,5,1603.2,0
52,갈현동,72,4,0,0,0,0,0,0,0,0,0,2,3,6,0,7,19,7,35,2286,0
53,강일동,49,10,0,0,0,0,0,0,1,0,0,0,0,1,0,1,31,17,1,4101,0
54,개봉동,79,9,0,0,0,0,0,0,2,2,0,4,3,3,0,4,3,3,18,8445.2,0
55,개포동,61,11,0,0,0,0,1,1,1,0,0,3,2,3,0,5,1,2,25,3043,0
56,개화동,7,2,1,0,0,0,0,0,0,1,0,0,4,2,0,0,54,37,3,453.4,0
57,거여동,27,7,0,0,0,0,1,0,1,0,0,0,0,4,0,0,24,9,8,4698.4,0
58,경운동,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,1291.6,0
59,고덕동,17,5,0,0,0,0,0,0,0,0,0,1,3,2,0,7,7,2,6,1471.4,0
60,공덕동,16,2,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,12,1519,0
61,공평동,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2123.8,0
62,공항동,52,8,0,0,1,0,0,0,0,0,0,0,0,2,0,5,3,3,14,9862.6,0
63,광장동,25,5,1,0,0,0,1,0,1,3,0,2,2,8,0,3,2,2,22,4528.8,0
64,광희동2가,4,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,1173.4,0
65,교남동,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,2,913.4,0
66,교북동,15,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3234.2,0
67,구로동,82,15,0,0,1,0,1,0,3,2,0,27,1,3,0,15,8,8,57,11010.8,0
68,구산동,34,1,0,0,0,0,0,0,1,0,0,2,0,1,0,1,2,2,9,1405.4,0
69,구수동,12,3,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,3,0,2806.6,0
70,구의동,60,14,0,0,1,0,1,0,0,0,0,6,0,3,0,11,8,7,38,12831.8,0
71,군자동,35,16,0,0,1,0,0,1,0,2,0,2,1,1,0,3,5,8,12,16902.8,0
72,궁동,43,7,0,0,0,0,0,0,1,0,0,0,3,1,0,2,0,0,5,2988.2,0
73,궁정동,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,732.4,0
74,금호동1가,34,2,0,0,0,0,0,0,0,0,6,2,0,6,0,2,2,0,1,198.4,0
75,금호동2가,23,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,376.8,0
76,금호동3가,44,3,0,0,0,0,0,0,0,0,0,2,1,2,0,2,8,3,3,735,0
77,금호동4가,16,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,0,4,1795.6,0
78,길동,39,8,0,0,2,0,1,0,1,0,0,4,2,3,1,2,13,6,13,9136.8,0
79,길음동,84,10,0,0,1,0,0,0,0,1,0,13,2,0,0,8,16,10,17,6954.6,0
80,낙원동,2,1,0,0,5,0,0,0,0,1,0,2,1,0,0,2,2,0,0,1047.4,0
81,남가좌동,48,13,0,0,0,0,0,0,0,0,0,1,0,0,0,7,6,9,10,9029.2,0
82,남대문로1가,4,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,2838.8,0
83,남대문로3가,4,3,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,1314.6,0
84,남대문로4가,4,1,0,0,2,1,0,0,0,0,10,0,0,0,0,0,0,0,4,516.6,1
85,남대문로5가,4,2,0,0,0,1,0,0,0,0,96,0,1,0,0,0,0,1,8,405,0
86,남현동,20,3,0,0,1,0,0,0,0,1,0,2,2,0,0,2,9,2,5,732.4,0
87,내발산동,67,26,0,0,2,0,1,0,0,0,0,2,2,2,0,9,26,9,11,45538.8,0
88,내자동,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2401.2,0
89,노고산동,25,10,0,0,3,0,0,0,0,3,0,2,0,2,0,3,14,6,5,7487.4,0
90,노량진동,50,8,0,0,4,0,0,0,2,0,0,2,0,3,0,24,14,12,27,12808.4,0
91,녹번동,35,12,0,0,1,1,3,0,0,3,0,0,3,2,0,3,10,4,31,7305.6,0
92,논현동,61,14,0,0,0,1,0,1,3,1,0,5,0,4,0,13,67,40,18,0,0
93,답십리동,30,7,0,0,0,0,0,0,3,0,0,3,0,1,0,0,7,4,15,6857.2,0
94,당산동,7,2,1,0,0,0,0,0,0,0,0,1,0,3,0,0,2,4,34,5737.6,0
95,당산동1가,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,7,1732.4,0
96,당산동2가,14,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,20,1791.6,0
97,당산동3가,6,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,2,12,5747.8,0
98,당산동4가,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,8,1906.6,0
99,당산동6가,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,10,4993.8,0
100,당인동,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,5,0,1370.6,1
101,당주동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1407.2,0
102,대림동,79,9,0,0,3,0,0,0,0,1,0,3,0,4,0,6,13,3,82,9039.6,0
103,대방동,99,13,0,0,0,0,0,0,0,0,0,3,4,6,0,5,17,9,21,13657,0
104,대신동,7,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,694.2,0
105,대조동,58,10,0,0,2,0,0,0,1,0,0,5,0,0,0,4,18,8,16,10747.4,0
106,대치동,56,14,0,0,0,0,1,0,3,4,0,7,0,6,0,17,19,22,23,8232,0
107,대현동,23,4,0,0,2,0,1,2,0,0,0,1,2,0,0,5,14,6,5,1426.8,0
108,대흥동,15,2,0,0,0,0,0,1,0,0,0,0,2,0,0,4,3,2,6,2216.8,0
109,도곡동,93,21,0,0,1,0,2,0,1,5,0,2,1,1,0,11,29,14,17,14328.4,0
110,도렴동,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,686.8,0
111,도림동,39,6,0,0,0,0,0,0,1,0,0,2,1,8,0,2,1,2,14,5080.2,0
112,도봉동,63,11,0,0,0,0,0,0,2,1,0,2,11,7,0,5,32,7,12,5181.8,0
113,도선동,7,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,2,6,1091.4,0
114,도원동,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,218,0
115,도화동,21,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,10,3,15,746.4,0
116,독산동,153,27,0,0,1,0,1,0,1,4,0,11,9,9,0,10,19,11,40,16014.4,0
117,돈암동,19,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,9,0,0
118,동교동,13,5,0,0,3,0,0,1,0,0,0,4,2,0,0,12,26,14,11,8683.4,1
119,동선동1가,4,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,9,5,0,1230,0
120,동선동2가,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,2,3039.4,0
121,동선동3가,6,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,51,0
122,동선동4가,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,361.6,0
123,동소문동2가,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2307,0
124,동소문동3가,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1232.8,0
125,동소문동5가,6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,3829,0
126,동소문동7가,61,4,0,0,3,0,0,0,1,1,0,0,4,0,0,0,3,1,0,2029,1
127,동자동,7,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,1749.2,0
128,둔촌동,31,4,0,0,0,0,0,0,0,0,0,2,1,2,1,4,1,2,5,1965.8,0
129,등촌동,63,12,0,0,3,0,0,0,3,1,0,5,7,7,0,15,15,9,54,18963.2,0
130,마곡동,35,14,0,0,0,0,0,0,0,0,0,3,0,5,0,1,11,7,8,0,0
131,마장동,31,7,0,0,0,0,0,0,0,0,0,2,0,4,0,3,2,0,12,0,0
132,마천동,30,5,0,0,0,0,0,0,0,0,0,2,0,2,0,5,16,8,9,3152,0
133,마포동,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6160.6,0
134,만리동1가,1,1,0,0,0,0,0,1,0,0,47,0,0,3,0,0,0,0,0,1049,0
135,만리동2가,12,1,0,0,0,0,0,0,0,1,51,0,0,4,0,0,1,0,2,632.8,1
136,망우동,56,6,0,0,0,0,0,0,1,1,0,1,2,4,0,5,13,9,22,2783.8,0
137,망원동,50,5,1,0,0,0,0,1,0,1,0,0,0,14,0,11,14,7,20,12105.2,1
138,면목동,97,16,0,0,0,0,1,0,1,1,0,1,6,10,0,6,22,10,43,10524.6,0
139,명동1가,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,8,0,0,940,0
140,명륜1가,12,2,0,0,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,415.8,1
141,명륜2가,6,2,0,0,3,0,0,1,0,2,0,0,0,0,0,2,4,2,2,2423.6,0
142,명륜4가,10,5,0,0,4,0,0,1,0,5,0,0,1,0,0,2,6,6,0,3934.6,0
143,명일동,67,16,0,0,0,0,0,0,1,1,0,5,1,6,0,10,19,8,22,7052.6,0
144,목동,56,20,0,0,1,0,1,0,1,3,0,8,10,9,0,26,11,8,40,0,0
145,묘동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774.2,0
146,무교동,0,1,0,0,0,1,0,1,0,0,14,0,0,0,0,0,1,0,6,1847.2,1
147,무악동,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1424.2,0
148,무학동,4,1,0,0,1,0,0,0,0,1,56,0,0,3,0,0,4,1,1,1049,0
149,묵정동,2,1,0,0,0,2,0,0,0,0,94,0,0,1,0,1,1,0,1,256.2,0
150,문래동1가,14,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,4755.6,0
151,문래동2가,12,3,0,0,2,0,0,0,0,2,0,0,0,1,0,0,6,4,1,8943.6,0
152,문래동3가,12,4,0,0,0,0,0,0,0,0,0,4,0,2,0,1,7,2,3,4202.6,0
153,문래동4가,7,2,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3893.4,0
154,문래동5가,24,6,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,1,9661.8,0
155,문래동6가,13,2,0,0,0,0,0,0,0,0,0,0,0,7,0,1,2,2,2,2694.6,0
156,문배동,6,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1124.4,0
157,문정동,43,14,0,0,2,0,0,0,0,0,0,4,0,0,0,8,24,6,18,11399.6,0
158,미근동,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1140.6,0
159,미아동,118,12,0,0,1,0,1,0,3,0,0,9,2,1,0,18,21,13,26,7276,0
160,반포동,80,15,1,0,2,0,1,0,3,4,0,3,7,5,0,14,29,15,47,11773.6,0
161,방화동,66,9,1,0,0,0,0,0,0,0,0,5,2,7,0,11,7,2,38,13007.8,0
162,보광동,20,2,1,0,0,0,0,0,0,0,0,1,0,0,0,4,6,2,2,2557,0
163,보문동1가,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,915.4,0
164,보문동2가,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1145.4,0
165,보문동3가,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,246,0
166,보문동4가,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1674.4,0
167,보문동6가,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,139.8,0
168,보문동7가,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,667.2,0
169,본동,25,5,1,0,0,0,0,0,0,0,0,0,2,5,0,1,1,1,2,7172.2,0
170,봉래동1가,9,1,0,0,0,0,1,0,0,0,40,0,0,0,0,0,0,2,2,100.6,0
171,봉래동2가,10,2,0,0,1,0,0,0,0,0,59,3,0,0,0,2,0,1,2,1131.6,1
172,부암동,9,2,0,0,0,1,1,1,0,1,0,0,2,0,0,1,2,2,2,317.4,1
173,북가좌동,29,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3,6,1880,0
174,북아현동,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,1,532.6,0
175,불광동,33,7,0,0,0,1,0,0,1,0,0,5,3,0,0,2,1,0,39,2702.4,0
176,사근동,36,3,0,0,1,0,0,1,1,0,0,0,0,4,0,1,0,1,6,2777.4,0
177,삼선동5가,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,826.6,0
178,삼전동,17,4,0,0,0,0,0,0,0,0,0,2,0,4,0,2,7,2,10,4742.2,0
179,삼청동,3,1,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,2,149,0
180,상계동,140,18,0,0,9,0,0,0,1,1,0,8,4,4,0,30,23,13,63,0,0
181,상도1동,46,5,0,0,1,0,0,0,0,0,0,0,4,0,0,2,6,2,2,1703.8,0
182,상도동,120,6,0,0,0,0,1,0,0,0,0,5,2,6,0,9,5,1,20,2331.6,0
183,상봉동,47,11,0,0,3,1,0,0,0,1,0,1,0,0,0,4,4,7,10,11810.8,0
184,상수동,15,3,0,0,1,0,0,0,0,1,0,0,0,0,0,3,9,4,3,2145.6,0
185,상왕십리동,14,3,0,0,0,0,0,0,0,0,18,0,0,0,0,1,2,1,2,5183.2,0
