id,dong,bus_station,bcc_rentalshop,hanriver_acc,history,theater,art,culture,museum,library,perfomance,park,shopping,doolle_munhwagil,gym,amusement_park,book,general_restaurant,rest_restaurant,restroom,bike_rental_mean,seoul_sites
186,상월곡동,26,5,0,0,0,0,0,0,1,1,0,0,6,0,0,1,1,2,5,2593,0
187,상일동,55,7,0,0,0,0,1,1,0,0,0,0,0,2,0,2,10,10,6,4756,0
188,서교동,56,7,0,0,4,1,0,0,0,4,0,5,0,0,0,32,35,13,19,10780.4,0
189,서린동,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2,1,2,813.6,0
190,서소문동,2,1,0,0,0,2,0,0,0,1,15,0,1,0,0,2,2,1,13,1810,0
191,서초동,123,20,0,0,1,3,0,1,1,7,0,2,2,3,0,20,34,12,204,8966,0
192,성내동,59,16,0,0,3,0,0,1,1,1,0,3,0,2,0,10,15,7,38,21479.2,0
193,성북동,28,2,0,0,0,2,0,1,0,0,0,0,9,1,0,4,2,0,7,582.6,5
194,성북동1가,11,2,0,0,0,0,0,1,0,0,0,0,1,1,0,2,1,0,0,1430.2,2
195,성산동,34,13,1,0,1,0,1,0,0,0,0,3,1,6,0,16,5,3,22,18895,2
196,성수동1가,37,10,0,0,0,0,0,0,0,2,0,1,6,8,1,11,25,11,19,14427.2,0
197,성수동2가,54,8,0,0,0,0,0,0,0,1,0,4,0,2,0,5,36,7,12,15015.8,0
198,세곡동,33,5,0,0,0,0,0,0,1,1,0,0,0,1,0,1,32,11,5,1054.6,0
199,소격동,3,1,0,0,0,5,0,0,0,0,0,0,1,0,0,1,3,0,0,861,0
200,송월동,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0
201,송정동,17,4,0,0,0,0,0,1,0,0,0,0,0,5,0,1,3,2,5,3971.8,0
202,송파동,36,10,0,0,0,0,1,0,0,0,0,0,3,1,0,14,35,10,17,13942.6,0
203,송현동,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1027.8,0
204,수색동,60,20,0,0,1,1,1,1,0,2,0,2,2,0,0,2,15,11,14,15294.8,0
205,수표동,3,1,0,0,0,0,0,1,0,0,8,0,0,0,0,0,3,0,3,573,0
206,순화동,1,1,0,0,0,0,0,0,0,0,54,0,0,0,0,1,0,1,2,389.8,0
207,숭인동,5,1,0,0,0,0,0,0,1,0,0,3,0,1,0,9,1,0,6,862.4,0
208,시흥동,114,9,0,0,0,0,1,0,0,5,0,11,7,5,0,12,91,25,35,3466.2,1
209,신계동,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,690.6,0
210,신공덕동,15,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,4,1,4646.6,0
211,신길동,50,5,0,0,0,0,0,0,0,0,0,6,1,0,0,11,7,1,92,0,0
212,신내동,71,12,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,4,13,6679.8,0
213,신당동,29,6,0,0,1,1,0,0,0,0,140,5,0,1,0,6,8,2,51,2586.6,0
214,신대방동,156,22,0,0,5,0,0,1,0,2,0,1,3,15,0,3,40,18,24,37280.8,0
215,신도림동,50,7,0,0,0,0,0,0,0,0,0,2,0,16,0,4,5,2,8,8239.2,0
216,신림동,114,8,0,0,0,0,0,0,0,0,0,6,10,4,1,47,25,5,30,8642.4,0
217,신문로1가,6,3,0,0,1,0,1,0,0,2,0,1,1,0,0,1,7,1,1,3492.6,0
218,신문로2가,3,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,1,692.6,0
219,신사동,69,11,1,0,3,2,0,0,1,3,0,2,0,5,0,17,44,17,31,11541.6,1
220,신사동,69,11,1,0,3,2,0,0,1,3,0,2,0,5,0,17,44,17,31,11541.6,1
221,신설동,18,4,0,0,0,0,0,0,1,0,0,2,0,0,0,3,2,2,8,5118.8,0
222,신수동,11,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,5,1462.2,0
223,신영동,33,4,0,0,0,1,0,2,0,0,0,0,4,0,0,0,2,2,2,401.8,0
224,신원동,21,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,205,58,1,2725.4,0
225,신월동,74,15,0,0,1,0,0,0,0,1,0,1,7,4,0,8,16,13,38,13113.4,0
226,신정동,121,22,0,0,2,0,2,1,1,1,0,3,0,3,0,34,13,12,52,26603.4,0
227,신정동,121,22,0,0,2,0,2,1,1,1,0,3,0,3,0,34,13,12,52,26603.4,0
228,신천동,12,2,1,0,0,0,0,0,0,0,0,9,1,0,0,6,5,3,9,4480.2,0
229,쌍림동,2,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,5,820.6,0
230,쌍문동,131,18,0,0,1,0,0,2,1,1,0,2,2,3,0,15,22,10,21,0,0
231,아현동,20,5,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,5,2972.6,1
232,안암동4가,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,5184.8,0
233,안암동5가,15,4,0,0,2,0,0,1,0,0,0,0,4,0,0,2,5,5,5,4695.2,0
234,압구정동,20,6,0,0,5,2,0,2,0,2,0,7,0,0,0,3,35,11,7,4817.8,0
235,양재동,65,12,0,0,0,0,1,0,1,0,0,1,1,8,2,12,9,9,74,10427.2,0
236,양평동,8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,75,1676.2,0
237,양평동1가,12,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,2,22,5828.2,0
238,양평동2가,24,8,0,0,2,0,0,1,0,0,0,1,0,6,0,0,14,11,13,17197.2,0
239,양평동3가,4,3,1,0,0,0,1,0,0,0,0,2,0,3,0,0,0,2,3,3073.6,0
240,양평동4가,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,3,1358.2,0
241,양평동5가,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,6330.8,0
242,양평동6가,12,4,1,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,6284.4,0
243,여의도동,41,22,1,0,1,1,0,0,1,3,0,6,5,3,0,21,57,27,239,40142.2,0
244,역삼동,89,18,0,0,11,0,4,1,3,7,0,9,1,3,0,11,104,28,29,0,0
245,역촌동,56,6,0,0,0,0,1,0,0,0,0,4,0,0,0,2,3,8,25,10163.2,0
246,연건동,12,3,0,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0,1,2854.4,1
247,연남동,45,6,0,0,0,0,0,0,0,0,0,2,0,0,0,13,17,14,3,6803.2,0
248,연지동,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,0,1,1411.2,0
249,연희동,63,7,0,0,0,0,1,1,0,1,0,1,1,10,0,3,10,11,12,6011.6,1
250,염곡동,31,8,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,872.4,0
251,염리동,14,1,0,0,0,0,1,0,0,2,0,2,0,3,0,5,3,1,2,0,0
252,염창동,51,15,1,0,0,0,0,0,1,0,0,4,0,2,0,3,7,6,15,22133.6,0
253,영등포동,15,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,95,3225.8,0
254,영등포동1가,12,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,2,2,6209.2,0
255,영등포동2가,6,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,4,5426.2,0
256,영등포동3가,8,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,6,2,1,3304,0
257,영등포동4가,10,1,0,0,2,0,0,0,0,0,0,2,0,0,0,4,3,4,1,3259.6,0
258,영등포동5가,4,2,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,2,0,3896,0
259,영등포동7가,8,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,3,3924,0
260,영등포동8가,15,6,1,0,0,0,0,0,0,0,0,1,0,2,0,1,5,1,6,6437.4,0
261,오류동,59,5,0,0,1,0,0,1,0,0,0,3,0,2,1,4,2,2,9,3317.2,0
262,옥수동,16,3,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,2,5,4665.8,0
263,온수동,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,5,787.8,0
264,외발산동,50,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,8409.4,0
265,용강동,7,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6,1,4,2645,0
266,용답동,15,7,0,0,0,0,0,0,0,0,0,3,0,1,0,3,1,2,28,7105.8,0
267,용두동,30,10,0,0,0,0,0,1,0,0,0,5,0,0,0,11,1,0,11,12497.4,0
268,용문동,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1338,1
269,용산동1가,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,78.6,0
270,용산동3가,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,411.8,0
271,용산동4가,9,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1635,0
272,용산동5가,10,4,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,2,2276.8,1
273,용산동6가,7,1,1,0,0,0,0,1,0,0,0,3,1,5,0,0,1,0,0,1473,1
274,우면동,25,5,0,0,0,1,0,2,0,0,0,0,1,3,0,2,1,0,2,2800.4,0
275,운니동,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,895.6,0
276,원남동,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,816.8,0
277,원지동,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,62,15,2,944.8,0
278,원효로2가,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,313.6,0
279,원효로3가,7,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,2,1983,0
280,원효로4가,14,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,992.6,0
281,율현동,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,967.2,0
282,을지로1가,4,1,0,0,0,1,0,0,0,0,24,0,0,0,0,3,1,1,3,544.8,0
283,을지로2가,2,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,4,1615.4,0
284,을지로3가,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,5,970,0
285,을지로4가,3,2,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,4,1479.2,0
286,을지로5가,3,1,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,3,885.4,0
287,을지로7가,5,3,0,0,0,0,0,0,0,1,35,1,0,0,0,0,0,1,2,0,1
288,응봉동,39,4,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,5,4760.4,0
289,응암동,77,6,0,0,0,0,0,0,1,0,0,9,2,4,0,8,6,6,49,5872.4,0
290,의주로2가,5,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,726,1
291,이문동,26,5,0,0,0,0,0,0,0,0,0,7,0,1,0,6,3,1,10,5789.2,0
292,이촌동,7,4,1,0,0,0,0,0,0,0,0,1,0,8,0,1,0,0,14,4256,0
293,이태원동,29,4,0,0,0,2,0,0,0,0,0,2,1,1,1,7,15,6,19,975.4,1
294,인의동,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1033.6,0
295,일원동,51,7,0,0,0,0,0,0,0,1,0,2,2,5,0,3,5,1,12,3916.8,0
296,자곡동,12,2,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,3,1720.2,0
297,자양동,38,11,1,0,0,1,1,0,1,0,0,7,0,9,0,10,5,9,43,22110.2,0
298,잠실동,32,16,1,0,4,1,2,0,0,3,0,6,0,12,1,9,24,7,45,20888,0
299,잠원동,30,8,1,0,0,0,0,0,0,0,0,3,0,10,0,9,10,5,30,7957,0
300,장교동,3,1,0,0,0,0,1,0,0,1,36,0,0,0,0,1,0,0,1,1000,0
301,장사동,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1010,0
302,장안동,61,11,0,0,1,0,1,0,0,0,0,9,2,6,0,10,17,5,28,14830.6,0
303,장위동,105,8,0,0,0,0,0,0,0,1,0,9,3,4,0,5,6,2,27,0,0
304,장지동,57,15,0,0,2,0,0,0,0,0,0,0,0,0,0,3,21,7,6,8424.8,1
305,장충동2가,7,2,0,0,1,0,0,1,0,2,215,0,1,4,0,3,0,2,5,402.2,0
306,재동,8,1,0,0,0,1,0,0,1,0,0,0,1,0,0,2,1,0,0,637,0
307,저동1가,3,1,0,0,0,0,0,0,0,2,8,0,0,0,0,1,0,0,1,625.2,1
308,적선동,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1879.6,0
309,전농동,26,11,0,0,1,0,0,0,2,1,0,4,2,1,0,12,4,2,13,6994.6,0
310,정동,0,1,0,0,0,3,0,1,0,1,95,0,1,0,0,2,1,1,7,615.4,1
311,제기동,19,3,0,0,0,0,0,2,0,1,0,8,0,2,0,1,7,1,5,3281.2,0
312,종로2가,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,5,2410.4,0
313,종로3가,2,2,0,0,3,0,0,0,0,3,0,2,0,0,0,1,0,1,4,1832.8,1
314,종로4가,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2136.6,0
315,종로5가,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,13,2,2,4,1660.4,0
316,종로6가,5,3,0,0,0,0,0,1,0,0,0,3,0,0,0,8,3,2,7,2952.6,0
317,종암동,48,3,0,0,0,0,0,0,1,1,0,2,3,0,0,2,5,0,24,4943.2,0
318,주성동,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,806.6,0
319,중계동,74,21,0,0,0,1,2,0,1,2,0,5,4,4,0,28,13,8,42,25259.8,0
320,중곡동,80,6,0,0,0,0,0,0,1,0,0,3,0,2,0,15,11,4,33,5149.6,0
321,중동,40,12,0,0,0,0,1,0,0,0,0,0,0,3,0,0,5,2,0,0,0
322,중학동,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1227.4,0
323,중화동,43,12,0,0,1,0,0,0,0,0,0,0,1,0,0,7,8,4,16,11145,0
324,증산동,22,5,0,0,0,0,0,0,1,0,0,1,0,6,0,3,4,3,14,7891,0
325,진관동,62,22,0,0,1,0,0,3,2,0,0,1,4,3,0,5,20,2,5,7463.4,0
326,창동,90,22,0,0,2,0,2,0,3,2,0,4,3,16,0,12,19,13,52,20905.6,0
327,창신동,10,4,0,0,0,0,0,0,0,1,0,4,0,3,0,7,1,2,9,3477.6,0
328,창전동,36,1,0,0,1,1,0,0,0,2,0,1,3,1,0,1,3,1,4,685.6,1
329,창천동,20,5,0,0,6,0,0,1,0,1,0,1,0,0,0,8,17,12,14,2535.6,0
330,천왕동,31,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0
331,천호동,51,10,1,0,3,0,0,1,3,0,0,24,0,13,0,14,27,10,45,14858,0
332,청담동,16,2,0,0,1,2,0,0,2,1,0,4,0,3,0,5,29,8,10,1359.6,0
333,청암동,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,911.6,0
334,청진동,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2095.4,0
335,청파동2가,7,1,0,0,0,0,0,2,1,0,0,0,0,0,0,3,2,2,1,1207,0
336,초동,1,1,0,0,1,0,0,0,0,1,9,0,0,0,0,1,6,0,2,557.8,0
337,충무로1가,1,1,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,1,8,606.4,0
338,충무로3가,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,5,664.4,0
339,충무로4가,2,1,0,0,1,0,0,0,0,1,8,1,0,0,0,0,3,0,5,1268.2,0
340,충신동,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1045.8,0
341,충정로1가,5,1,0,0,1,0,0,1,0,2,40,0,0,0,0,0,0,0,0,1055.8,0
342,충정로3가,12,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,5,1266,0
343,태평로1가,8,2,0,0,0,2,0,1,1,1,40,0,2,0,0,3,6,1,5,3332,0
344,태평로2가,6,1,0,0,0,0,0,0,0,0,10,0,0,0,0,1,6,0,4,3.2,0
345,팔판동,5,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,963.8,0
346,평동,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,478.6,0
347,평창동,23,1,0,0,0,3,0,1,0,0,0,0,7,0,0,1,0,1,6,210.8,0
348,풍납동,29,9,0,0,0,0,0,0,0,0,0,1,0,8,0,9,4,3,10,7383.6,0
349,필운동,3,1,0,0,0,0,0,0,2,0,0,0,1,1,0,1,4,1,0,822.6,0
350,하왕십리동,20,8,0,0,0,0,0,0,0,0,8,0,0,1,0,3,1,1,6,2609.2,0
351,하월곡동,58,8,0,0,0,0,0,1,1,0,0,3,0,5,0,5,11,6,16,0,0
352,한강로1가,5,4,0,0,0,0,0,2,0,0,0,1,2,0,0,0,2,0,3,2158.6,1
353,한강로2가,6,2,0,0,0,2,0,0,0,0,0,5,0,0,0,2,13,2,5,2714.4,0
354,한강로3가,16,2,1,0,3,0,0,0,0,3,0,7,0,0,0,6,6,3,2,2963.8,0
355,한남동,36,4,0,0,1,10,2,0,0,5,6,1,2,0,0,8,16,4,24,1638,1
356,합동,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
357,합정동,22,3,1,0,1,1,0,2,0,1,0,1,0,0,0,5,20,8,7,5335.6,1
358,항동,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,29,0,2902.6,0
359,행당동,34,6,0,0,5,0,1,0,2,1,0,5,0,0,0,10,12,8,20,6057.6,0
360,현석동,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.8,0
361,현저동,6,1,0,0,0,0,0,1,1,0,0,0,3,1,0,2,0,0,2,76.2,2
362,혜화동,3,1,0,0,0,1,0,0,0,3,0,0,0,0,0,3,0,0,1,442,0
363,홍은동,61,7,0,0,0,0,0,0,0,0,0,0,4,4,0,2,1,1,10,0,0
364,홍익동,9,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2105.2,0
365,홍제동,49,4,0,0,0,0,0,0,1,0,0,3,1,2,0,6,9,2,21,1539.2,1
366,홍지동,42,1,0,0,0,0,0,2,0,1,0,0,6,1,0,4,2,0,1,499.8,2
367,화곡동,119,7,0,0,3,0,0,0,0,2,0,4,7,0,0,22,21,5,50,7864.8,0
368,화양동,26,17,0,0,9,0,2,1,0,1,0,2,0,3,0,5,31,11,43,23077.6,0
369,황학동,8,1,0,0,1,0,1,0,0,0,16,2,0,0,0,0,6,1,3,2106,0
370,회기동,23,2,0,0,2,0,1,2,2,0,0,4,1,0,0,3,9,12,4,2288.2,0
371,회현동2가,3,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,2,226.2,0
372,효자동,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,723.8,0
